month,channel,new_signups,converted_to_paid,conversion_rate_pct,cac_usd,avg_ltv_usd,ltv_to_cac_ratio,payback_period_months
2024-01,paid_google,77,30,39.0,68.79,436.55,6.35,1.3
2024-01,paid_linkedin,57,21,36.8,92.38,533.56,5.78,2.4
2024-01,referral,70,30,42.9,16.08,371.84,23.12,0.5
2024-01,organic,29,9,31.0,23.8,528.49,22.21,0.6
2024-02,paid_google,78,32,41.0,98.81,403.37,4.08,2.3
2024-02,paid_linkedin,76,27,35.5,119.0,570.61,4.8,2.5
2024-02,referral,66,22,33.3,10.66,868.08,81.43,0.3
2024-02,organic,36,11,30.6,20.77,641.05,30.86,0.5
2024-03,paid_google,85,37,43.5,103.5,520.9,5.03,2.2
2024-03,paid_linkedin,75,26,34.7,128.35,487.41,3.8,3.2
2024-03,referral,91,44,48.4,13.33,580.23,43.53,0.3
2024-03,organic,41,20,48.8,32.22,542.71,16.84,0.9
2024-04,paid_google,76,33,43.4,79.14,792.35,10.01,1.8
2024-04,paid_linkedin,71,29,40.8,93.51,557.37,5.96,2.4
2024-04,referral,78,28,35.9,9.91,504.21,50.88,0.3
2024-04,organic,47,15,31.9,32.56,357.38,10.98,0.9
2024-05,paid_google,74,29,39.2,69.15,711.01,10.28,1.8
2024-05,paid_linkedin,59,21,35.6,140.84,453.33,3.22,3.7
2024-05,referral,67,25,37.3,18.08,553.39,30.61,0.4
2024-05,organic,42,14,33.3,18.44,591.74,32.09,0.4
2024-06,paid_google,64,27,42.2,75.42,775.59,10.28,1.7
2024-06,paid_linkedin,69,19,27.5,111.4,875.86,7.86,2.5
2024-06,referral,70,31,44.3,12.02,461.9,38.43,0.2
2024-06,organic,36,14,38.9,32.05,847.97,26.46,0.8
2024-07,paid_google,95,32,33.7,109.97,578.96,5.26,2.3
2024-07,paid_linkedin,65,24,36.9,132.65,468.67,3.53,3.6
2024-07,referral,76,33,43.4,18.32,559.25,30.53,0.4
2024-07,organic,37,13,35.1,31.13,1027.43,33.0,0.6
2024-08,paid_google,94,35,37.2,92.39,615.67,6.66,2.4
2024-08,paid_linkedin,73,36,49.3,126.4,484.41,3.83,3.3
2024-08,referral,75,30,40.0,13.79,519.97,37.71,0.3
2024-08,organic,39,9,23.1,26.27,699.68,26.63,0.7
2024-09,paid_google,86,34,39.5,82.66,871.25,10.54,1.8
2024-09,paid_linkedin,68,25,36.8,142.9,450.45,3.15,3.7
2024-09,referral,73,23,31.5,12.19,771.3,63.27,0.3
2024-09,organic,25,6,24.0,25.64,774.11,30.19,0.5
2024-10,paid_google,91,34,37.4,99.47,809.69,8.14,2.4
2024-10,paid_linkedin,54,23,42.6,144.12,355.75,2.47,3.6
2024-10,referral,96,43,44.8,13.44,439.96,32.74,0.3
2024-10,organic,30,10,33.3,22.03,503.44,22.85,0.6
2024-11,paid_google,88,28,31.8,73.46,479.84,6.53,2.3
2024-11,paid_linkedin,79,31,39.2,107.71,382.22,3.55,2.5
2024-11,referral,69,23,33.3,16.82,662.0,39.36,0.4
2024-11,organic,34,15,44.1,14.6,539.99,36.99,0.5
2024-12,paid_google,92,38,41.3,86.33,573.39,6.64,2.3
2024-12,paid_linkedin,73,28,38.4,128.64,617.61,4.8,2.9
2024-12,referral,75,24,32.0,11.83,798.27,67.48,0.3
2024-12,organic,31,6,19.4,17.05,519.24,30.45,0.5
2025-01,paid_google,88,29,33.0,89.42,642.53,7.19,2.1
2025-01,paid_linkedin,78,30,38.5,94.78,367.14,3.87,2.3
2025-01,referral,57,22,38.6,16.54,546.89,33.06,0.4
2025-01,organic,45,23,51.1,25.76,344.63,13.38,0.6
2025-02,paid_google,80,22,27.5,77.66,653.3,8.41,1.9
2025-02,paid_linkedin,48,21,43.8,138.1,748.72,5.42,3.2
2025-02,referral,70,19,27.1,13.7,586.41,42.8,0.4
2025-02,organic,23,10,43.5,21.52,626.57,29.12,0.4
2025-03,paid_google,96,40,41.7,64.16,876.14,13.66,1.5
2025-03,paid_linkedin,66,24,36.4,130.28,677.42,5.2,3.7
2025-03,referral,83,36,43.4,10.65,378.52,35.54,0.2
2025-03,organic,34,11,32.4,26.95,574.36,21.31,0.7
2025-04,paid_google,87,35,40.2,70.22,702.67,10.01,1.7
2025-04,paid_linkedin,61,25,41.0,114.23,571.65,5.0,2.7
2025-04,referral,66,25,37.9,15.57,334.89,21.51,0.4
2025-04,organic,37,18,48.6,15.61,353.72,22.66,0.4
2025-05,paid_google,77,23,29.9,94.71,606.73,6.41,2.7
2025-05,paid_linkedin,98,32,32.7,135.88,769.16,5.66,3.2
2025-05,referral,79,27,34.2,19.77,622.71,31.5,0.5
2025-05,organic,37,13,35.1,15.11,721.61,47.76,0.3
2025-06,paid_google,75,32,42.7,56.91,387.5,6.81,1.3
2025-06,paid_linkedin,85,38,44.7,157.91,343.61,2.18,3.9
2025-06,referral,77,30,39.0,16.38,735.84,44.92,0.4
2025-06,organic,37,14,37.8,28.43,418.79,14.73,0.9
