event_id,hs_contact_id,user_id,email_type,sent_at,opened,clicked,unsubscribed
em_7141d271041d,hs_c_991a8a1edb,usr_02183,upgrade_nudge,2024-11-12 00:00:00,False,False,False
em_30731d20219d,hs_c_991a8a1edb,usr_02183,churn_winback,2024-12-11 00:00:00,True,False,False
em_adaaecc88126,hs_c_991a8a1edb,usr_02183,upgrade_nudge,2024-10-10 00:00:00,True,False,False
em_6f7670b9390c,hs_c_991a8a1edb,usr_02183,upgrade_nudge,2024-11-06 00:00:00,False,False,False
em_c325c79e3647,hs_c_991a8a1edb,usr_02183,churn_winback,2024-12-16 00:00:00,True,False,False
em_36ea4d6a6624,hs_c_5fc523acdc,usr_03603,churn_winback,2025-04-20 00:00:00,False,False,False
em_7fc4100c9e54,hs_c_5fc523acdc,usr_03603,onboarding_day7,2025-03-21 00:00:00,False,False,False
em_918d63f8ef5d,hs_c_08d780b98d,usr_04265,onboarding_day1,2025-06-08 00:00:00,False,False,False
em_a15eb8779fcf,hs_c_8e31475a6d,usr_02229,churn_winback,2024-10-04 00:00:00,True,False,False
em_debbed1579bb,hs_c_8e31475a6d,usr_02229,onboarding_day1,2024-10-14 00:00:00,False,False,False
em_f0b01f214e20,hs_c_8e31475a6d,usr_02229,feature_announcement,2024-12-28 00:00:00,False,False,False
em_297e05d1da31,hs_c_8e31475a6d,usr_02229,onboarding_day3,2024-11-04 00:00:00,False,False,False
em_7a162e5ab14f,hs_c_8e31475a6d,usr_02229,feature_announcement,2024-12-04 00:00:00,True,True,False
em_6541ccf875e9,hs_c_beac68fba0,usr_03227,onboarding_day7,2025-01-21 00:00:00,True,False,False
em_a67b4adcea24,hs_c_beac68fba0,usr_03227,upgrade_nudge,2025-03-18 00:00:00,True,False,False
em_8c68a768bb86,hs_c_beac68fba0,usr_03227,onboarding_day1,2025-04-17 00:00:00,True,False,False
em_a56a88628344,hs_c_beac68fba0,usr_03227,feature_announcement,2025-03-16 00:00:00,True,False,False
em_7ea1615f9d61,hs_c_beac68fba0,usr_03227,feature_announcement,2025-03-20 00:00:00,False,False,False
em_97a7de0d7c3c,hs_c_beac68fba0,usr_03227,churn_winback,2025-04-01 00:00:00,False,False,False
em_e1326db59172,hs_c_b3be17ab44,usr_02987,churn_winback,2025-01-03 00:00:00,False,False,False
em_d59f626a9deb,hs_c_b3be17ab44,usr_02987,churn_winback,2025-03-18 00:00:00,False,False,False
em_5d52b67d1a5c,hs_c_b3be17ab44,usr_02987,onboarding_day3,2025-01-02 00:00:00,False,False,False
em_3494b1aacb2c,hs_c_b3be17ab44,usr_02987,newsletter,2025-02-11 00:00:00,False,False,False
em_e5548b28e2c6,hs_c_b3be17ab44,usr_02987,newsletter,2025-03-17 00:00:00,False,False,False
em_2dd603887a3b,hs_c_7bda074815,usr_04651,reengagement,2025-06-09 00:00:00,False,False,False
em_49f3e1993455,hs_c_7bda074815,usr_04651,upgrade_nudge,2025-06-29 00:00:00,False,False,False
em_a43fccf8c20e,hs_c_194e522198,usr_03783,newsletter,2025-05-19 00:00:00,False,False,False
em_a3b94dfd4714,hs_c_194e522198,usr_03783,feature_announcement,2025-06-12 00:00:00,False,False,False
em_ffe40bb49b79,hs_c_194e522198,usr_03783,reengagement,2025-02-25 00:00:00,True,False,False
em_9f547787d541,hs_c_194e522198,usr_03783,reengagement,2025-03-24 00:00:00,False,False,False
em_4b504eeeedf1,hs_c_1b76edd3db,usr_03400,onboarding_day1,2025-01-22 00:00:00,True,False,False
em_3814fc472bf7,hs_c_1b76edd3db,usr_03400,onboarding_day3,2025-03-03 00:00:00,False,False,False
em_08f1cce5d881,hs_c_1b76edd3db,usr_03400,feature_announcement,2025-02-07 00:00:00,True,True,False
em_9aae3aed1ae1,hs_c_f68790f6b2,usr_01789,newsletter,2024-09-15 00:00:00,True,False,False
em_c564543bf103,hs_c_f68790f6b2,usr_01789,feature_announcement,2024-07-31 00:00:00,False,False,False
em_8b431838d829,hs_c_f68790f6b2,usr_01789,onboarding_day7,2024-10-10 00:00:00,False,False,False
em_882e69fcb935,hs_c_f68790f6b2,usr_01789,feature_announcement,2024-10-05 00:00:00,False,False,False
em_9a9dcf60e847,hs_c_f7c4bf6a54,usr_00741,churn_winback,2024-05-29 00:00:00,False,False,False
em_268ba077daf7,hs_c_f7c4bf6a54,usr_00741,churn_winback,2024-04-11 00:00:00,False,False,False
em_92c5e6d1b013,hs_c_32a7712f35,usr_00725,upgrade_nudge,2024-04-10 00:00:00,True,False,False
em_9ac6a7d57956,hs_c_32a7712f35,usr_00725,feature_announcement,2024-06-10 00:00:00,True,False,False
