usage_id,user_id,feature,plan,usage_count,first_used_date,last_used_date
fu_4a1ea7f60bde,usr_02747,comments,free,19,2025-03-11,2024-11-18
fu_c9a94f1cade1,usr_02747,version_history,free,16,2025-03-16,2025-05-28
fu_7ea4e54e98bf,usr_02747,doc_editor,free,28,2025-01-29,2024-11-02
fu_93090535c230,usr_02747,export_pdf,free,9,2025-06-20,2025-05-07
fu_e7a2130d5ff9,usr_02747,ai_rewrite,free,25,2025-01-02,2024-12-12
fu_faa89a292a6a,usr_02747,ai_write,free,15,2024-12-08,2025-04-29
fu_009bd5900c3d,usr_00604,collaboration,pro,1,2024-11-09,2024-11-08
fu_10100814fe62,usr_00604,export_pdf,pro,12,2025-03-25,2024-05-30
fu_d04a75289c0f,usr_00604,export_docx,pro,16,2024-10-12,2025-01-05
fu_2fd176587a0d,usr_00604,comments,pro,27,2024-04-14,2024-10-06
fu_f053c8b6bb54,usr_00604,ai_write,pro,17,2024-05-16,2024-09-30
fu_96b8b3a10fbd,usr_00604,seo_check,pro,27,2024-05-11,2025-02-06
fu_eb09a52dada5,usr_04199,ai_write,pro,25,2025-06-12,2025-04-21
fu_6c71eb5fce06,usr_04199,ai_rewrite,pro,12,2025-06-29,2025-05-25
fu_c29be9947b96,usr_04199,version_history,pro,5,2025-06-18,2025-04-11
fu_bb39b2a38d4c,usr_04199,export_docx,pro,28,2025-06-16,2025-06-03
fu_e47b484c8438,usr_04199,template_picker,pro,23,2025-04-16,2025-04-29
fu_355306b3d819,usr_04199,export_pdf,pro,21,2025-06-11,2025-05-23
fu_219d2b95ba7e,usr_04199,comments,pro,20,2025-05-08,2025-06-14
fu_88494044bceb,usr_04199,doc_editor,pro,7,2025-06-06,2025-05-29
fu_22b10948aa9f,usr_04199,seo_check,pro,26,2025-05-04,2025-06-06
fu_4a6747d0afd2,usr_04199,brand_voice,pro,14,2025-05-11,2025-04-20
fu_275542e6516c,usr_02395,ai_rewrite,free,23,2025-03-27,2025-06-08
fu_44b307ba1bc5,usr_02395,version_history,free,19,2025-03-16,2024-11-17
fu_6a1b3a565e33,usr_04269,doc_editor,free,1,2025-05-24,2025-05-16
fu_e411a1a6bb09,usr_04269,grammar_fix,free,7,2025-06-12,2025-05-15
fu_ee8c6a74aefb,usr_04269,ai_write,free,6,2025-06-19,2025-05-22
fu_3ee9bb81f6ca,usr_04269,comments,free,4,2025-05-01,2025-05-29
fu_596603427883,usr_04269,export_docx,free,8,2025-06-22,2025-05-25
fu_a4da4c10c44d,usr_04269,export_pdf,free,2,2025-06-11,2025-05-17
fu_7e933619695c,usr_04269,version_history,free,11,2025-06-22,2025-04-30
fu_2e6ecce59ab9,usr_03552,grammar_fix,free,22,2025-03-07,2025-02-09
fu_87828e9141ff,usr_04582,ai_write,free,25,2025-06-06,2025-06-24
fu_55423496cccc,usr_04582,export_docx,free,27,2025-06-17,2025-06-23
fu_75009d03ae1d,usr_04582,doc_editor,free,16,2025-06-21,2025-06-27
fu_81176f1b9d2f,usr_04582,grammar_fix,free,11,2025-06-06,2025-06-15
fu_753965dbf619,usr_02489,version_history,free,11,2024-10-11,2024-10-11
fu_c5818a42513a,usr_02489,template_picker,free,27,2024-12-28,2025-03-07
fu_89d0cc8305bb,usr_02489,export_pdf,free,17,2024-11-01,2025-02-13
fu_d70525c6a811,usr_02489,doc_editor,free,2,2025-03-22,2025-01-16
fu_33d612759242,usr_03964,doc_editor,free,1,2025-06-23,2025-06-17
fu_12d1e24f1af7,usr_03964,version_history,free,20,2025-04-02,2025-05-12
fu_d376831c727c,usr_03964,export_docx,free,2,2025-06-07,2025-04-02
fu_63890d441a90,usr_03964,ai_write,free,19,2025-03-20,2025-06-28
fu_cd8915c12507,usr_03964,comments,free,15,2025-05-03,2025-06-25
fu_86c309bae565,usr_00321,comments,free,6,2024-07-12,2024-03-30
fu_f37207f0eb11,usr_00321,export_docx,free,24,2025-01-24,2024-05-09
fu_184899012603,usr_00321,ai_write,free,27,2025-03-08,2024-04-25
fu_7326076316ad,usr_00321,grammar_fix,free,4,2024-10-06,2025-02-06
fu_915ad2700296,usr_03923,collaboration,pro,10,2025-06-19,2025-04-04
fu_abb38cad46bd,usr_03923,grammar_fix,pro,9,2025-05-01,2025-06-17
fu_0157e83210b8,usr_03923,export_pdf,pro,19,2025-04-27,2025-05-16
fu_4e5b0bf7c597,usr_03923,comments,pro,16,2025-06-04,2025-04-05
fu_bd660886eb77,usr_02900,ai_rewrite,pro,27,2024-12-28,2024-11-19
fu_cb26607a901d,usr_02900,grammar_fix,pro,30,2025-03-16,2025-05-16
fu_b5f9347a220e,usr_02900,comments,pro,8,2025-02-17,2025-04-23
fu_0ccbc3cde660,usr_02900,brand_voice,pro,28,2025-01-19,2025-05-13
fu_01674e67a8c5,usr_02900,template_picker,pro,6,2025-03-26,2024-12-21
fu_6799231b688c,usr_02900,seo_check,pro,2,2025-01-18,2025-03-22
fu_cb7dfd7f4ea8,usr_02900,collaboration,pro,19,2025-01-21,2025-02-23
fu_865ccfb439da,usr_00572,version_history,free,17,2024-12-17,2024-04-10
fu_fbac735fecda,usr_00572,ai_rewrite,free,18,2025-01-16,2024-06-27
fu_76216e5ea0db,usr_01308,ai_rewrite,free,3,2025-02-05,2025-06-03
fu_d7ad683ce9e0,usr_01308,export_pdf,free,7,2024-10-04,2025-01-26
fu_e4d19f07e129,usr_01308,version_history,free,25,2024-10-29,2025-01-19
fu_775c7044f754,usr_01308,ai_write,free,8,2024-12-18,2024-07-19
fu_dd6288374c1e,usr_01308,template_picker,free,7,2024-12-13,2024-06-10
fu_5a9aeef202e8,usr_01308,grammar_fix,free,17,2024-08-22,2024-10-20
fu_6c67772676cd,usr_01308,doc_editor,free,3,2024-06-29,2025-02-19
fu_9d7324d1320a,usr_01308,export_docx,free,24,2025-06-10,2024-09-20
fu_c16b882b47e8,usr_01308,comments,free,23,2025-03-05,2024-05-28
fu_0c4d3bc77f41,usr_04872,version_history,free,20,2025-06-27,2025-06-17
fu_13bc9bf2b186,usr_04872,grammar_fix,free,8,2025-06-24,2025-06-28
fu_bebe2f73aa29,usr_03945,version_history,free,28,2025-06-18,2025-05-27
fu_87de51b50bd9,usr_03945,ai_write,free,29,2025-05-31,2025-04-19
fu_6b71072b1ca4,usr_03945,doc_editor,free,14,2025-06-29,2025-05-22
fu_e3556039752b,usr_03945,template_picker,free,14,2025-04-12,2025-05-06
fu_2a1a624fac05,usr_02708,doc_editor,pro,18,2025-06-21,2025-05-01
fu_d07974bae939,usr_02708,ai_rewrite,pro,24,2025-04-07,2025-05-16
fu_15493a1259cb,usr_02708,export_pdf,pro,27,2024-11-09,2025-05-20
fu_151f0375e059,usr_02708,version_history,pro,18,2025-05-23,2025-02-15
fu_999b888c5cab,usr_00043,export_pdf,free,16,2025-04-28,2025-05-08
fu_96337c9062d3,usr_00043,template_picker,free,27,2024-08-18,2024-11-18
fu_38b1f7f02e43,usr_00043,ai_rewrite,free,13,2024-10-26,2024-10-20
fu_a3228a080855,usr_00043,comments,free,24,2024-08-03,2024-09-26
fu_6b9f8dbbb750,usr_00043,version_history,free,12,2025-04-07,2024-04-30
fu_50e175ff3e57,usr_00043,doc_editor,free,16,2024-07-18,2024-04-08
fu_502da94aa64b,usr_04646,comments,pro,3,2025-05-29,2025-06-27
fu_2622ddf0fe29,usr_04646,doc_editor,pro,9,2025-06-29,2025-06-01
fu_bf5520ecbafc,usr_04646,collaboration,pro,25,2025-06-26,2025-06-05
fu_fe42ced00d77,usr_04646,version_history,pro,17,2025-05-27,2025-06-28
fu_35ded80a7c5f,usr_04646,export_docx,pro,21,2025-06-25,2025-06-06
fu_3067ac43e70f,usr_04646,seo_check,pro,2,2025-05-30,2025-06-16
fu_e3cb441dea80,usr_04646,template_picker,pro,24,2025-06-17,2025-05-28
fu_16ca4271128f,usr_01153,comments,free,24,2025-01-05,2025-03-04
fu_674a4cf971a4,usr_01153,ai_rewrite,free,30,2025-05-06,2025-01-08
fu_7c437159f775,usr_01153,doc_editor,free,15,2024-08-27,2025-05-21
fu_ced227fa1377,usr_01153,template_picker,free,3,2024-07-04,2024-10-17
fu_44b9ef089a89,usr_01153,export_docx,free,21,2025-02-02,2024-08-02
fu_9aedfc68549f,usr_01153,ai_write,free,2,2024-05-07,2025-06-04
fu_260a6afc1d02,usr_01153,grammar_fix,free,10,2024-09-05,2024-09-20
fu_788570f487b5,usr_03950,template_picker,free,28,2025-05-04,2025-05-11
fu_5274ce782d9c,usr_03950,doc_editor,free,11,2025-05-04,2025-05-04
fu_ef920e331315,usr_03950,grammar_fix,free,27,2025-05-28,2025-04-10
fu_2cf26c755ada,usr_02843,ai_rewrite,free,24,2024-11-24,2024-11-18
fu_14bd0214de15,usr_02843,ai_write,free,29,2024-11-15,2025-06-23
fu_8c3df51bcbcc,usr_02843,doc_editor,free,8,2025-02-11,2025-01-03
fu_4f2ec6bcc5d0,usr_02843,export_pdf,free,15,2024-11-23,2025-06-15
fu_5de36a0a0e18,usr_02843,template_picker,free,21,2024-12-06,2025-06-20
fu_d74cdcc2a691,usr_02843,comments,free,19,2025-01-31,2025-06-28
fu_0f5b9fe3519c,usr_02843,export_docx,free,14,2025-02-21,2025-04-03
fu_c3f49245610a,usr_02552,doc_editor,free,20,2025-03-26,2025-03-21
fu_ca1bd33101bf,usr_02552,export_pdf,free,19,2024-10-29,2025-05-30
fu_087d39221109,usr_02552,version_history,free,22,2025-03-12,2025-04-26
fu_b6459d934d69,usr_00972,template_picker,free,19,2025-06-17,2025-03-15
fu_bad76c1498c9,usr_00972,version_history,free,25,2024-09-28,2024-09-08
fu_dbbe244fc2bb,usr_00972,export_docx,free,13,2024-11-17,2025-01-16
fu_dfa20733be8e,usr_00972,ai_rewrite,free,29,2024-04-17,2024-06-11
fu_fe0b46ed1184,usr_00972,ai_write,free,8,2024-05-13,2025-02-06
fu_198b99532648,usr_00972,grammar_fix,free,6,2024-08-20,2024-06-06
fu_e211648ec4b6,usr_00972,comments,free,24,2024-06-09,2024-10-06
fu_97309ea4a5bf,usr_00972,export_pdf,free,20,2024-09-18,2024-11-30
fu_90553097861d,usr_00972,doc_editor,free,29,2024-07-10,2024-08-16
fu_3c4e622f6642,usr_01296,seo_check,pro,3,2025-04-18,2024-07-02
fu_f85debbcd0e8,usr_01296,export_docx,pro,21,2025-03-08,2025-02-23
fu_f8e23780a23c,usr_01296,export_pdf,pro,4,2024-11-14,2024-08-24
fu_3765723aad59,usr_01296,collaboration,pro,28,2025-03-06,2025-03-27
fu_83af93ce5956,usr_01296,grammar_fix,pro,9,2025-06-19,2024-06-17
fu_0f86eb412f40,usr_01296,ai_rewrite,pro,19,2025-05-03,2025-01-17
fu_3cfb333bd1e4,usr_01296,doc_editor,pro,8,2024-07-25,2025-06-24
fu_4f40f6790b4e,usr_01296,template_picker,pro,3,2024-06-16,2024-10-19
fu_d280839b4978,usr_01296,ai_write,pro,4,2025-05-28,2024-10-19
fu_66fda283c275,usr_03856,export_pdf,free,15,2025-03-12,2025-06-07
fu_4d47b629055e,usr_03856,comments,free,30,2025-04-10,2025-06-24
fu_e313272b5ec2,usr_03856,doc_editor,free,23,2025-05-02,2025-06-21
fu_ff83087a2156,usr_00595,ai_rewrite,free,27,2024-10-14,2025-01-20
fu_bc6965d11863,usr_00595,ai_write,free,21,2025-05-18,2024-06-13
fu_8410a54d996a,usr_00595,template_picker,free,21,2024-11-03,2024-08-23
fu_ef1384c3e57a,usr_00595,comments,free,24,2025-06-03,2024-08-15
fu_313fdd6867a9,usr_00595,export_pdf,free,14,2024-09-14,2024-03-22
fu_85b4ec603343,usr_00595,doc_editor,free,12,2024-07-02,2024-12-13
fu_1057cb571756,usr_00595,grammar_fix,free,7,2025-03-01,2024-04-18
fu_ad9fbbf3aa7b,usr_00595,version_history,free,11,2024-04-30,2024-09-20
fu_caaa5ae332e9,usr_04900,ai_rewrite,free,14,2025-06-25,2025-06-24
fu_dd7e5733b263,usr_04900,grammar_fix,free,9,2025-06-22,2025-06-23
fu_e0cfd0543175,usr_04900,export_docx,free,6,2025-06-24,2025-06-29
fu_a08df8aef1ab,usr_04900,export_pdf,free,6,2025-06-19,2025-06-22
fu_f024508055ee,usr_04900,comments,free,25,2025-06-22,2025-06-20
