pv_id,session_id,user_id,page,viewed_at,time_on_page_seconds,plan
pv_f6204be59fcf,sess_272951fbba6740,usr_04216,/dashboard,2025-04-21 12:47:23,288,free
pv_7dcfb8fcb001,sess_272951fbba6740,usr_04216,/explore,2025-04-21 12:48:09,244,free
pv_346a2a846258,sess_d12d405477624e,usr_01301,/integrations,2024-11-18 11:45:46,248,pro
pv_e2f8cfaaebac,sess_d12d405477624e,usr_01301,/explore,2024-11-18 11:47:27,151,pro
pv_2b4902d81e58,sess_d12d405477624e,usr_01301,/settings,2024-11-18 11:47:30,302,pro
pv_037856bf7581,sess_d12d405477624e,usr_01301,/dashboard,2024-11-18 11:46:49,293,pro
pv_f735b6fb43c2,sess_d12d405477624e,usr_01301,/templates,2024-11-18 11:53:06,35,pro
pv_7d5f4d5d6474,sess_d12d405477624e,usr_01301,/integrations,2024-11-18 11:54:46,80,pro
pv_6eb5e09687cc,sess_aa625f3be76a44,usr_03669,/dashboard,2025-04-27 13:54:01,208,free
pv_d1c21cfb45dd,sess_aa625f3be76a44,usr_03669,/help,2025-04-27 13:55:24,353,free
pv_262557fd382c,sess_aa625f3be76a44,usr_03669,/help,2025-04-27 13:55:47,219,free
pv_a10ebdf6658a,sess_ac6a2c6667d64b,usr_01611,/settings,2025-04-30 18:25:48,417,pro
pv_4e3ce7135ba2,sess_c7079ce1f1a64d,usr_04374,/help,2025-06-28 21:11:38,450,pro
pv_46522079d7be,sess_c7079ce1f1a64d,usr_04374,/onboarding,2025-06-28 21:13:24,162,pro
pv_a47b1bfc30e6,sess_c7079ce1f1a64d,usr_04374,/integrations,2025-06-28 21:12:32,600,pro
pv_19f6c91dfab1,sess_c7079ce1f1a64d,usr_04374,/explore,2025-06-28 21:13:41,374,pro
pv_4aa04e6c628a,sess_c7079ce1f1a64d,usr_04374,/onboarding,2025-06-28 21:18:06,555,pro
pv_fa0a8713770c,sess_c7079ce1f1a64d,usr_04374,/editor,2025-06-28 21:16:43,190,pro
pv_5e98f10c05da,sess_9d28b474e21d4f,usr_04159,/editor,2025-05-08 03:14:01,513,pro
pv_90961f1fe400,sess_9d28b474e21d4f,usr_04159,/billing,2025-05-08 03:14:30,387,pro
pv_1f2416e7369d,sess_9d28b474e21d4f,usr_04159,/editor,2025-05-08 03:16:31,473,pro
pv_689c2ae5f103,sess_e731dcefbd454f,usr_01677,/billing,2024-09-22 02:48:50,335,pro
pv_b12863d17f42,sess_e731dcefbd454f,usr_01677,/team,2024-09-22 02:50:35,520,pro
pv_684318d45c6e,sess_e731dcefbd454f,usr_01677,/dashboard,2024-09-22 02:50:06,98,pro
pv_3050fc108969,sess_e731dcefbd454f,usr_01677,/team,2024-09-22 02:54:11,186,pro
pv_cd237de94a20,sess_e731dcefbd454f,usr_01677,/team,2024-09-22 02:50:54,270,pro
pv_3908fab55927,sess_e731dcefbd454f,usr_01677,/billing,2024-09-22 02:57:30,194,pro
pv_3e12eb65ec26,sess_e731dcefbd454f,usr_01677,/integrations,2024-09-22 02:58:56,413,pro
pv_acb215acd5c5,sess_931d0f3bbefc40,usr_03353,/dashboard,2025-01-28 18:51:13,337,pro
pv_bd0d5ff42a7e,sess_931d0f3bbefc40,usr_03353,/explore,2025-01-28 18:53:00,190,pro
pv_0ce7e7fdc16e,sess_001e6bdb775540,usr_01681,/help,2024-07-20 01:17:25,56,pro
pv_4c23f5948e33,sess_001e6bdb775540,usr_01681,/integrations,2024-07-20 01:19:10,188,pro
pv_c055065b9fdb,sess_001e6bdb775540,usr_01681,/onboarding,2024-07-20 01:20:49,80,pro
pv_0b66ea80a52a,sess_001e6bdb775540,usr_01681,/integrations,2024-07-20 01:20:04,36,pro
pv_667c29dad11f,sess_4d44dedc6ab043,usr_02607,/help,2025-05-17 15:21:35,381,free
pv_25a83c91a84f,sess_5323ea1591bd45,usr_02362,/billing,2025-04-18 21:08:25,355,free
pv_13ca5e5e5203,sess_5323ea1591bd45,usr_02362,/billing,2025-04-18 21:09:52,209,free
pv_ecbda7f51e8d,sess_5323ea1591bd45,usr_02362,/team,2025-04-18 21:10:43,71,free
pv_d32c548232b9,sess_5323ea1591bd45,usr_02362,/team,2025-04-18 21:12:22,286,free
pv_9bfa93528aff,sess_5323ea1591bd45,usr_02362,/settings,2025-04-18 21:12:21,221,free
pv_d95498624485,sess_5323ea1591bd45,usr_02362,/help,2025-04-18 21:15:30,72,free
pv_e8ba581b3111,sess_75a09e5bb6e243,usr_00314,/onboarding,2024-04-16 23:45:09,540,business
pv_6987cf7f322a,sess_59208a0ca7de44,usr_03227,/integrations,2024-12-31 04:41:06,490,free
pv_4913353dcc3a,sess_59208a0ca7de44,usr_03227,/templates,2024-12-31 04:41:48,34,free
pv_a339e5c4a6bf,sess_59208a0ca7de44,usr_03227,/explore,2024-12-31 04:43:30,253,free
pv_a3dccacb7d34,sess_59208a0ca7de44,usr_03227,/settings,2024-12-31 04:44:27,460,free
pv_ed96f27e78db,sess_42a7de5741804d,usr_01619,/dashboard,2024-12-29 23:42:35,187,free
pv_f0b17e34534f,sess_42a7de5741804d,usr_01619,/dashboard,2024-12-29 23:43:23,396,free
pv_c1a7df7ebabc,sess_42a7de5741804d,usr_01619,/settings,2024-12-29 23:46:01,282,free
pv_6e1e17667087,sess_42a7de5741804d,usr_01619,/editor,2024-12-29 23:47:17,581,free
pv_c790b9ae5a0d,sess_42a7de5741804d,usr_01619,/templates,2024-12-29 23:43:55,441,free
pv_ca5621eafb38,sess_42a7de5741804d,usr_01619,/help,2024-12-29 23:47:20,263,free
pv_a69223b7c63e,sess_42a7de5741804d,usr_01619,/editor,2024-12-29 23:51:47,137,free
pv_cc08cedcdee8,sess_c7a87531d0f144,usr_00313,/help,2024-08-21 00:53:20,414,business
pv_9f91ad398640,sess_c7a87531d0f144,usr_00313,/onboarding,2024-08-21 00:54:34,289,business
pv_021c8ca4634f,sess_c7a87531d0f144,usr_00313,/templates,2024-08-21 00:57:10,12,business
pv_e582532fcbbd,sess_978dcaebff354d,usr_04338,/integrations,2025-06-02 13:40:01,108,business
pv_0002338f4892,sess_55cf6970e75e44,usr_01650,/billing,2024-09-27 00:05:47,9,pro
pv_0e6326f05511,sess_55cf6970e75e44,usr_01650,/settings,2024-09-27 00:07:17,553,pro
pv_96b1b2a99157,sess_7a971cb0171e4b,usr_03054,/dashboard,2025-02-25 01:52:46,125,pro
pv_36866e6dab68,sess_7a971cb0171e4b,usr_03054,/billing,2025-02-25 01:53:32,404,pro
pv_9a50c3ce9b99,sess_7a971cb0171e4b,usr_03054,/help,2025-02-25 01:55:30,573,pro
