demo_id,user_id,source,requested_at,scheduled,showed_up,converted_to_paid,owner,notes
demo_b9103701fd,usr_01447,outbound,2025-02-21,True,True,True,alice@writely.ai,Budget constrained
demo_a8a11c987c,prospect_0185,outbound,2025-04-26,True,False,False,carol@writely.ai,Strong use case
demo_7933512201,usr_01749,outbound,2025-06-17,True,True,False,alice@writely.ai,Ready to buy
demo_8bf74831cd,prospect_0142,product_in_app,2025-05-01,True,True,False,alice@writely.ai,Needs legal approval
demo_b000266ee2,prospect_0049,linkedin_ad,2024-12-01,True,True,True,alice@writely.ai,Budget constrained
demo_5336ac83b3,prospect_0178,outbound,2024-03-15,True,True,False,alice@writely.ai,Ready to buy
demo_4af7c51d1d,prospect_0124,linkedin_ad,2024-07-13,True,True,False,bob@writely.ai,No show
demo_44a6183f45,usr_04185,website_cta,2024-07-11,True,True,False,bob@writely.ai,Interested in team plan
demo_f2ae801296,usr_02987,referral,2024-08-27,True,True,True,bob@writely.ai,Interested in team plan
demo_8a2522c474,usr_04822,product_in_app,2024-06-18,True,False,False,alice@writely.ai,Evaluating Q3
demo_b58bacd6e5,prospect_0130,paid_ad,2024-05-12,False,False,False,bob@writely.ai,No show
demo_2129e90794,usr_00265,product_in_app,2024-09-10,True,True,False,bob@writely.ai,Budget constrained
demo_2c01094f3d,prospect_0151,referral,2024-07-26,True,False,False,carol@writely.ai,No show
demo_41543e5cd1,usr_01713,website_cta,2024-12-03,True,True,True,carol@writely.ai,Interested in team plan
demo_c821cbb7a6,usr_02259,outbound,2024-03-09,True,True,True,bob@writely.ai,Strong use case
demo_f8247484b6,prospect_0119,linkedin_ad,2024-03-16,True,True,False,alice@writely.ai,Budget constrained
demo_2ed90a2256,usr_00667,website_cta,2025-06-06,True,True,False,bob@writely.ai,Interested in team plan
demo_861b75e48f,prospect_0089,referral,2024-11-24,True,True,True,bob@writely.ai,Strong use case
demo_2b490c7e49,usr_04647,product_in_app,2024-08-13,False,False,False,alice@writely.ai,No show
demo_05e1a8db52,usr_04523,website_cta,2024-03-02,False,False,False,bob@writely.ai,Budget constrained
demo_4ea55c5503,prospect_0145,website_cta,2024-09-02,False,False,False,carol@writely.ai,Interested in team plan
demo_e7d896ff3a,prospect_0121,outbound,2024-04-18,True,False,False,bob@writely.ai,Comparing with competitors
demo_c6008e26b4,usr_03053,outbound,2025-01-20,False,False,False,alice@writely.ai,Budget constrained
demo_ff3548bb69,usr_03582,outbound,2025-03-09,False,False,False,alice@writely.ai,Interested in team plan
demo_0f93b17b96,usr_04162,website_cta,2024-08-18,False,False,False,alice@writely.ai,Interested in team plan
demo_03450cf614,usr_02739,paid_ad,2025-04-24,True,True,True,alice@writely.ai,Evaluating Q3
demo_f55ca4098b,usr_03756,website_cta,2024-02-20,True,True,False,bob@writely.ai,Comparing with competitors
demo_c3528d49e1,prospect_0167,referral,2024-10-01,True,True,False,alice@writely.ai,Budget constrained
demo_bbcf9ee443,usr_00248,outbound,2025-02-12,True,True,True,bob@writely.ai,No show
demo_6ec9abf0bf,usr_01929,referral,2024-04-26,True,True,False,bob@writely.ai,Strong use case
demo_411184b460,prospect_0057,product_in_app,2024-10-09,True,True,True,carol@writely.ai,Needs legal approval
demo_b310f9591e,usr_00072,referral,2024-03-05,True,True,True,bob@writely.ai,Strong use case
demo_6c16b9a00e,usr_04190,website_cta,2024-05-22,False,False,False,carol@writely.ai,No show
demo_badd9c875d,prospect_0150,paid_ad,2024-10-20,True,True,False,carol@writely.ai,Ready to buy
demo_7f3995a2d6,usr_01668,outbound,2024-02-03,True,True,True,alice@writely.ai,Comparing with competitors
demo_f37873135e,usr_00924,referral,2025-03-12,True,True,False,bob@writely.ai,Strong use case
demo_77cde01a13,usr_01144,linkedin_ad,2024-12-18,False,False,False,bob@writely.ai,Comparing with competitors
demo_e00f374488,prospect_0111,outbound,2024-07-06,True,True,True,carol@writely.ai,No show
demo_53d2d11ddd,prospect_0148,product_in_app,2024-11-27,True,True,True,bob@writely.ai,Needs legal approval
