touch_id,target_id,is_existing_user,touch_type,owner,sent_at,responded,sequence_step
touch_ea06664d5022,usr_00768,True,cold_email,alice@writely.ai,2024-03-15,True,1
touch_745927cfda23,usr_00768,True,linkedin_dm,alice@writely.ai,2024-03-18,False,2
touch_5ac3c81fc40b,usr_00768,True,linkedin_dm,alice@writely.ai,2024-03-29,False,3
touch_688ef66bc77a,usr_00768,True,follow_up_email,bob@writely.ai,2024-03-27,False,4
touch_0161353f04a6,usr_01485,True,voicemail,carol@writely.ai,2025-01-02,False,1
touch_765e6e65d070,usr_01485,True,linkedin_inmail,alice@writely.ai,2025-01-04,False,2
touch_4bba0b78f902,usr_01485,True,follow_up_email,carol@writely.ai,2025-01-10,False,3
touch_82e563d94926,usr_04536,True,voicemail,alice@writely.ai,2024-03-25,False,1
touch_5eda4f11b40f,usr_04536,True,call,carol@writely.ai,2024-03-29,False,2
touch_9dbb9a435790,usr_04536,True,cold_email,carol@writely.ai,2024-03-29,False,3
touch_37d306cf5c87,usr_04536,True,follow_up_email,carol@writely.ai,2024-04-06,False,4
touch_47009d786cff,usr_04920,True,voicemail,alice@writely.ai,2024-05-02,False,1
touch_32b3e6761cff,usr_04920,True,voicemail,bob@writely.ai,2024-05-07,False,2
touch_0db4fabb084e,usr_04920,True,call,bob@writely.ai,2024-05-10,False,3
touch_e729d368ce3d,usr_04008,True,call,carol@writely.ai,2024-09-06,False,1
touch_92c0cda9a9d4,usr_04008,True,linkedin_dm,alice@writely.ai,2024-09-12,False,2
touch_1645c286ce89,usr_04008,True,voicemail,carol@writely.ai,2024-09-18,False,3
touch_ab659bf017db,usr_04008,True,voicemail,alice@writely.ai,2024-09-12,True,4
touch_974be52f0656,usr_01143,True,follow_up_email,bob@writely.ai,2025-01-02,False,1
touch_33a71240f986,usr_03525,True,call,carol@writely.ai,2025-05-30,False,1
touch_696a8666cddb,usr_01600,True,follow_up_email,bob@writely.ai,2025-04-05,True,1
touch_c6796268b4cd,usr_01600,True,voicemail,carol@writely.ai,2025-04-07,False,2
touch_fab65923150f,usr_01833,True,linkedin_dm,carol@writely.ai,2024-09-08,False,1
touch_d029feb94c9d,usr_01833,True,call,alice@writely.ai,2024-09-14,False,2
touch_fe3841999f8c,usr_01833,True,follow_up_email,carol@writely.ai,2024-09-14,True,3
touch_e2a96e31cbc8,usr_01833,True,linkedin_inmail,alice@writely.ai,2024-09-20,False,4
touch_9996bc145dbf,usr_01833,True,linkedin_inmail,bob@writely.ai,2024-09-16,False,5
touch_b984a2dad218,usr_03071,True,follow_up_email,bob@writely.ai,2024-04-07,False,1
touch_d7fd2ff83a2e,usr_03071,True,linkedin_dm,carol@writely.ai,2024-04-10,False,2
touch_0703f67967bd,usr_03071,True,linkedin_dm,bob@writely.ai,2024-04-17,False,3
touch_78df7f95b689,usr_03071,True,cold_email,bob@writely.ai,2024-04-25,False,4
touch_6738437748ce,usr_03071,True,follow_up_email,alice@writely.ai,2024-05-01,False,5
touch_9ecd3cb22638,usr_00451,True,call,alice@writely.ai,2024-07-01,False,1
touch_279e36cba8a8,usr_00451,True,follow_up_email,carol@writely.ai,2024-07-07,True,2
touch_6948433348e3,usr_00451,True,voicemail,bob@writely.ai,2024-07-11,True,3
touch_605a34a5f899,usr_00451,True,voicemail,bob@writely.ai,2024-07-13,False,4
touch_747554bf0d55,usr_01922,True,call,alice@writely.ai,2025-04-03,True,1
touch_5896ef418086,usr_01922,True,voicemail,bob@writely.ai,2025-04-09,False,2
touch_8a46e8175b6a,usr_01922,True,voicemail,bob@writely.ai,2025-04-09,False,3
touch_144a0ab1299b,usr_01922,True,cold_email,alice@writely.ai,2025-04-09,False,4
touch_c5d20a1bbcd2,usr_01922,True,linkedin_inmail,bob@writely.ai,2025-04-11,False,5
touch_3b8abe82c416,usr_04241,True,linkedin_dm,carol@writely.ai,2024-07-07,False,1
touch_be9180c7de5b,usr_04241,True,voicemail,alice@writely.ai,2024-07-12,False,2
touch_00dc6316a592,usr_01148,True,linkedin_dm,alice@writely.ai,2025-01-31,False,1
touch_2d044743469e,usr_01148,True,linkedin_inmail,alice@writely.ai,2025-02-04,False,2
touch_ba5512b471eb,usr_01148,True,follow_up_email,bob@writely.ai,2025-02-12,False,3
touch_56e77a51bc3a,usr_01148,True,voicemail,bob@writely.ai,2025-02-06,False,4
touch_714f4720bca7,usr_01148,True,call,alice@writely.ai,2025-02-20,False,5
touch_6bdbde242c4a,usr_00563,True,linkedin_dm,alice@writely.ai,2025-03-21,False,1
touch_90a37a957a78,usr_00563,True,voicemail,alice@writely.ai,2025-03-23,False,2
touch_21cbe454735e,usr_04075,True,follow_up_email,alice@writely.ai,2024-07-25,False,1
touch_94955929c49e,usr_04075,True,call,alice@writely.ai,2024-07-27,False,2
touch_b4d3878f906e,usr_02903,True,linkedin_inmail,bob@writely.ai,2025-01-21,True,1
touch_4d0d07cd6353,usr_02903,True,follow_up_email,alice@writely.ai,2025-01-24,True,2
touch_e6a181db0a8f,usr_02903,True,linkedin_dm,bob@writely.ai,2025-01-27,True,3
touch_9411904c4554,usr_02903,True,voicemail,bob@writely.ai,2025-01-27,False,4
touch_4ea83ca33edb,usr_02903,True,voicemail,bob@writely.ai,2025-01-29,False,5
touch_f06a88efce96,usr_02255,True,call,alice@writely.ai,2024-05-04,False,1
touch_345810c8b6a9,usr_02255,True,follow_up_email,carol@writely.ai,2024-05-11,False,2
touch_ac228e194240,usr_02255,True,cold_email,alice@writely.ai,2024-05-18,False,3
touch_6cb1321cbf45,usr_02255,True,cold_email,bob@writely.ai,2024-05-10,False,4
touch_ba4b1fc5661a,usr_02255,True,voicemail,alice@writely.ai,2024-06-01,False,5
touch_7c50ce00e782,usr_02313,True,cold_email,carol@writely.ai,2024-11-28,False,1
touch_7e2aaf0ba768,usr_00972,True,voicemail,carol@writely.ai,2024-05-05,False,1
touch_5f9ac9b248c4,usr_00972,True,linkedin_inmail,bob@writely.ai,2024-05-10,False,2
touch_c170082d665e,usr_00972,True,call,carol@writely.ai,2024-05-15,False,3
touch_0fe06d41becf,usr_00767,True,voicemail,alice@writely.ai,2025-04-06,False,1
touch_195cc251f4e8,usr_00767,True,call,bob@writely.ai,2025-04-11,False,2
touch_e857bdf496c1,usr_00767,True,follow_up_email,carol@writely.ai,2025-04-18,True,3
touch_2a3b3f0b695a,usr_00767,True,call,alice@writely.ai,2025-04-18,False,4
touch_4f99ba8a6d1d,usr_03227,True,voicemail,carol@writely.ai,2024-08-26,False,1
touch_b8cddd32e32e,usr_03227,True,cold_email,carol@writely.ai,2024-08-29,False,2
touch_11063724c6a6,usr_03227,True,linkedin_dm,bob@writely.ai,2024-09-03,False,3
touch_fc95e2fbe311,usr_03227,True,call,bob@writely.ai,2024-09-01,False,4
touch_f70da9bb2618,usr_03227,True,call,carol@writely.ai,2024-09-11,False,5
touch_82337c37414c,usr_04547,True,linkedin_dm,bob@writely.ai,2025-05-02,True,1
touch_e4140d5b81e7,usr_04547,True,call,bob@writely.ai,2025-05-05,False,2
touch_010f321dd0e1,usr_04547,True,follow_up_email,carol@writely.ai,2025-05-10,True,3
touch_0842d3dc9297,usr_04547,True,follow_up_email,alice@writely.ai,2025-05-17,False,4
touch_234caf562d4a,usr_02528,True,follow_up_email,carol@writely.ai,2024-03-25,False,1
touch_937435ca5c20,usr_02528,True,linkedin_dm,alice@writely.ai,2024-03-27,False,2
touch_3512530af66a,usr_00511,True,linkedin_dm,alice@writely.ai,2025-04-23,True,1
touch_78ff5ed30062,usr_00511,True,call,alice@writely.ai,2025-04-25,False,2
touch_4fb330453102,usr_04272,True,call,carol@writely.ai,2024-12-05,False,1
touch_638d1c0b39af,usr_04272,True,voicemail,carol@writely.ai,2024-12-11,False,2
touch_f4925dbcaaf4,usr_04272,True,voicemail,carol@writely.ai,2024-12-09,False,3
touch_f59c45cf1ced,usr_02091,True,voicemail,carol@writely.ai,2024-12-18,False,1
touch_816d9f0f0cc3,usr_02091,True,linkedin_dm,alice@writely.ai,2024-12-22,False,2
touch_4459d08910fa,usr_02091,True,voicemail,carol@writely.ai,2024-12-24,False,3
touch_44fe4ab60c46,usr_02091,True,follow_up_email,carol@writely.ai,2024-12-27,False,4
