invoice_id,subscription_id,user_id,amount_usd,status,invoice_date,plan
inv_4cf9dba8993648,sub_029b30066af040,usr_00021,29,paid,2024-01-03,pro
inv_850af354915c4d,sub_029b30066af040,usr_00021,29,paid,2024-02-02,pro
inv_da827209541641,sub_029b30066af040,usr_00021,29,paid,2024-03-03,pro
inv_db908beedc1d4d,sub_029b30066af040,usr_00021,29,paid,2024-04-02,pro
inv_bd96db47d88143,sub_029b30066af040,usr_00021,29,paid,2024-05-02,pro
inv_a9414176981549,sub_029b30066af040,usr_00021,29,paid,2024-06-01,pro
inv_d3cc9519a4874b,sub_029b30066af040,usr_00021,29,paid,2024-07-01,pro
inv_b1caa9026cdb42,sub_718507c647644d,usr_00034,29,paid,2024-01-05,pro
inv_7b7ab5cf237d42,sub_718507c647644d,usr_00034,29,paid,2024-02-04,pro
inv_9e106ae8d5ba4d,sub_718507c647644d,usr_00034,29,paid,2024-03-05,pro
inv_3010e67398e247,sub_718507c647644d,usr_00034,29,failed,2024-04-04,pro
inv_24e7b51beca145,sub_718507c647644d,usr_00034,29,paid,2024-05-04,pro
inv_ebd06ababac440,sub_718507c647644d,usr_00034,29,paid,2024-06-03,pro
inv_005d72edb2d549,sub_718507c647644d,usr_00034,29,paid,2024-07-03,pro
inv_a40e7cc5bd6f47,sub_718507c647644d,usr_00034,29,paid,2024-08-02,pro
inv_fb392e9034154f,sub_718507c647644d,usr_00034,29,paid,2024-09-01,pro
inv_37e032e6033542,sub_3963b79c40f04d,usr_00037,29,paid,2024-01-05,pro
inv_b57ba14e1d2249,sub_3963b79c40f04d,usr_00037,29,paid,2024-02-04,pro
inv_a1db5a466ad649,sub_3963b79c40f04d,usr_00037,29,paid,2024-03-05,pro
inv_a1aba434fed747,sub_3963b79c40f04d,usr_00037,29,paid,2024-04-04,pro
inv_78a52da94a3f44,sub_3963b79c40f04d,usr_00037,29,paid,2024-05-04,pro
inv_36df180cce9041,sub_3963b79c40f04d,usr_00037,29,paid,2024-06-03,pro
inv_4381dcff1b1e4e,sub_3963b79c40f04d,usr_00037,29,paid,2024-07-03,pro
inv_10424b60136b4b,sub_3963b79c40f04d,usr_00037,29,paid,2024-08-02,pro
inv_48607ea8b87749,sub_3963b79c40f04d,usr_00037,29,paid,2024-09-01,pro
inv_6cf30cbea83d42,sub_3963b79c40f04d,usr_00037,29,paid,2024-10-01,pro
inv_7ad6217f218547,sub_3963b79c40f04d,usr_00037,29,paid,2024-10-31,pro
inv_4881f52553f549,sub_9facea479ca744,usr_00038,79,paid,2024-01-06,business
inv_8bd6e9f652574f,sub_9facea479ca744,usr_00038,79,paid,2024-02-05,business
